,0,1,2,3,4,5,6,7
28,Growth Capex,-42.60204564,-7.269133839999999,-5.7041666300000005,-6.264999629999998,-3.945833,-2.7699999599999994,-4.2
29,Total Capex,111.65753533999995,75.5978069808,74.273293782152,93.68042948319795,82.8260520599277,65.18095354283649,66.1793763833509
30,EBITDA less Capex,250.83240242,138.50925123988654,238.86541774902858,164.75580864359873,131.53468068251013,171.81484697919967,143.89043302207037
31,Beginning Cash Balance,0.0,5.148873,-10.416765,15.0,-18.493747,-19.397774,6.834098999999999
32,OpCo,,,,,,,
33,ebitda,362.4899377599999,214.10705822068658,313.1387115311806,258.4362381267967,214.36073274243785,236.99580052203603,210.0698094054212
34,capex,-111.65753533999998,-75.5978069808,-74.273293782152,-93.68042948319794,-82.82605205992772,-65.18095354283649,-66.17937638335088
35,working capital,0.0,-71.5,0.0,0.0,0.0,0.0,0.0
36,other cash use,0.0,-5.5,0.0,0.0,0.0,0.0,0.0
37,,,,,,,,
38,Revolver,,,,,,,
39,interest expense,0.0,-2.509275034175832,-3.996308892022853,-4.056022654894471,-4.195926547042357,-4.29552573930935,-4.388604127164549
40,draw,36.0,85.0,0.0,0.0,0.0,0.0,0.0
41,repay,-21.0,0.0,0.0,0.0,0.0,0.0,0.0
42,,,,,,,,
43,TLB,,,,,,,
44,interest expense,-108.76784158000001,-92.32687399999998,-83.5732568045488,-79.87500735140071,-78.71453166487548,-78.24057914360328,-76.7107634225499
45,prepayment,-40.875,0.0,-51.37397128107753,-56.016622715339885,-11.28182793809618,-17.85443963043472,-28.67959728042203
46,upsize,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,amortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,dsra release,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,,,,,,,,
50,TLC,,,,,,,
51,interest expense,-6.099424878799999,-3.6340841700000004,-4.75,-4.75,-4.75,-4.75,-4.75
52,prepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,upsize,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,amortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,dsra release,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,,,,,,,,
57,Swaps,,,,,,,
58,,,,,,,,
59,TaxRegister,,,,,,,
60,ptd,-77.51662968339522,-24.752539759668664,-55.34471133584757,-49.923057063023066,-33.49641864683328,-40.44242626821355,-30.244799430370094
61,,,,,,,,
62,Equity,,,,,,,
63,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,,,,,,,,
